GeneIDs	lcountsRep1	lcountsRep2	lcountsRep3	lcountsRep4	lcountsRep5	lcountsRep6	mean
NM_001030299	0	0	0	0	0	0	0
NM_001030301	2	4	1	0	3	1	1.833333333
NM_001030303	0	0	0	0	0	0	0
NM_001030304	0	0	0	0	0	0	0
NM_001030318	1	2	1	0	1	1	1
NM_001030319	1	0	3	0	0	0	0.666666667
NM_001030320	1	2	0	1	2	4	1.666666667
NM_001031753	0	0	0	0	0	0	0
NM_001031754	11	5	14	3	11	11	9.166666667
NM_001031755	6	7	8	10	7	5	7.166666667
NM_001031756	866	848	864	866	904	849	866.1666667
NM_001031757	6	4	8	6	8	4	6
NM_001031758	1	0	1	0	2	2	1
NM_001031761	15	15	18	17	18	13	16
NM_001031762	2	0	4	2	4	0	2
NM_001031763	6	9	8	8	7	2	6.666666667
NM_001031764	79	91	87	71	75	72	79.16666667
NM_001031768	2	2	4	1	1	1	1.833333333
NM_001031769	5	3	5	8	2	6	4.833333333
NM_001031771	42	44	41	37	42	47	42.16666667
NM_001032294	0	0	0	0	0	0	0
NM_001032300	5	11	1	6	5	4	5.333333333
NM_001032301	0	0	0	0	0	0	0
NM_001033121	3	4	1	5	4	5	3.666666667
NM_001033608	63	60	50	66	53	68	60
NM_001033609	11	11	10	7	10	11	10
NM_001033610	25	25	37	22	26	14	24.83333333
NM_001033611	2	2	2	5	3	0	2.333333333
NM_001033612	6	4	4	6	3	10	5.5
NM_001033613	975	912	965	978	948	942	953.3333333
NM_001033614	427	442	441	398	448	450	434.3333333
NM_001033615	62	58	63	62	60	63	61.33333333
NM_001033616	58	61	51	54	57	60	56.83333333
NM_001033617	5	4	2	8	11	8	6.333333333
NM_001033618	31	38	21	32	30	29	30.16666667
NM_001033619	524	498	529	486	488	515	506.6666667
NM_001033620	41	43	40	57	41	37	43.16666667
NM_001033622	20	16	13	24	17	21	18.5
NM_001033623	94	90	90	95	99	92	93.33333333
NM_001033624	486	505	504	453	500	487	489.1666667
NM_001033625	9	4	10	10	11	11	9.166666667
NM_001033627	3	6	1	3	3	4	3.333333333
NM_001033628	141	143	158	139	130	143	142.3333333
NM_001033629	177	165	180	183	172	184	176.8333333
NM_001033761	1	0	0	2	0	1	0.666666667
NM_001033762	149	152	205	155	172	154	164.5
NM_001033763	16	18	10	12	19	9	14
NM_001033936	8	7	6	6	8	8	7.166666667
NM_001033989	1	2	0	1	0	0	0.666666667
NM_001033990	210	205	205	189	211	228	208
NM_001033991	1	0	3	2	0	1	1.166666667
NM_001034016	4	2	4	4	2	6	3.666666667
NM_001034034	125	111	121	130	122	120	121.5
NM_001034035	9	10	7	12	3	8	8.166666667
NM_001034036	0	0	0	0	0	0	0
NM_001034038	14	14	17	21	12	11	14.83333333
NM_001034039	65	76	61	50	69	54	62.5
NM_001034040	7	16	4	12	9	3	8.5
NM_001034041	1	0	2	3	0	0	1
NM_001034042	6	7	6	5	5	5	5.666666667
NM_001034043	0	0	0	0	0	0	0
NM_001034044	147	145	157	139	139	164	148.5
